"main.id","hpq_otheggs.id","eggsno","eggs_othtext","eggs_otheggssold","eggs_otheggscons"
"10438032","0","6","","0","0"
"10466218","0","5","","0","0"
"10466218","1","6","","0","0"
"10438950","0","52","Chicken","2","2"
"10476451","0","17","Turkey","10","20"
"10539252","0","11","Chicken","0","0"
"10776297","0","7","","0","0"
"10776297","1","8","","0","0"
"10776297","2","9","","0","0"
"10776297","3","10","","0","0"
"10776297","4","11","","0","0"
"10776297","5","12","","0","0"
"10776297","6","13","","0","0"
"10776297","7","14","","0","0"
"10776297","8","15","","0","0"
"10776297","9","16","","0","0"
"10776297","10","17","","0","0"
"10776297","11","18","","0","0"
"10776297","12","19","","0","0"
"10776297","13","20","","0","0"
"10776297","14","21","","0","0"
"10776297","15","22","","0","0"
"10776297","16","23","","0","0"
"10776297","17","24","","0","0"
"10776297","18","25","","0","0"
"10776297","19","26","","0","0"
"10801654","0","5","","0","0"
"10801654","1","6","","0","0"
"11135906","0","38","Turkey","0","50"
"11188909","0","8","Manok","0","0"
"11188909","1","9","Manok","0","0"
"11188909","2","10","Manok","0","0"
"11188909","3","11","Manok","3","4"
"11188909","4","12","Manok","3","4"
"11188909","5","13","Manok","3","4"
"11188909","6","14","","3","4"
"11188909","7","15","","3","4"
